Starting data and time	Friday 06 December 2019 (17:05:40)
Ending date and time	Friday 06 December 2019 (17:09:54)
Time consumed	0 hours, 4 minutes, and 13 seconds
Number of datasets	1
Total number of input genes	20309
Genes included in the analysis	20309
Genes filtered out from the analysis	0
Number of clusters	1
Total number of genes in clusters	15146
Genes not included in any cluster	5163
Min cluster size	15146
Max cluster size	15146
Average cluster size	15146.0
Number of samples (including replicates)	22
Number of conditions	22
