Starting data and time	Monday 09 December 2019 (14:41:30)
Ending date and time	Monday 09 December 2019 (14:41:43)
Time consumed	0 hours, 0 minutes, and 13 seconds
Number of datasets	1
Total number of input genes	1745
Genes included in the analysis	1745
Genes filtered out from the analysis	0
Number of clusters	11
Total number of genes in clusters	434
Genes not included in any cluster	1311
Min cluster size	14
Max cluster size	124
Average cluster size	39.45454545454545
Number of samples (including replicates)	22
Number of conditions	22
